idx_issue,등록일자,상태,구분,작성자명,작성자명(form DB),프로젝트명,관련제품,이슈내용,발생원인,개선방안
1057,2026.7.21,등록,,이은지,이은지,PNA52676-알로스타,프라우드 투톤 명함지갑,"명함지갑 덮개 안쪽의 자성이 너무 약해서 잘 열리는 현상 발생
(명함지갑 뒤쪽을 잡고 들면 자동으로 덮개가 열릴정도)",,
1056,2026.7.13,등록,,지윤미,지윤미,PNA51468-IBK창공,리멤버 탁상시계,디스플레이 화면 불량으로 사용 어려움,제품 불량,
1055,2026.7.7,등록,,황휘민,황휘민,PNA51627-한국전력공사,비주얼핏 키캡키링,"키캡이 쉽게 빠지는 이슈가 있다고 합니다. 
가방에 메고 다니는 도중에 키캡이 빠졌다는 이슈를 직원 2~3명으로부터 전달받았다고 합니다. (100개 제작 후 대부분의 수량은 행사참여자에게 배포하였고 일부수량만 임직원에게 배포한 것으로 이슈 발생 비율이 꽤 높습니다)",다른 키캡과 비교해보니 저희 키캡의 홀이 약간 큰 것 같습니다.,
1054,2026.7.3,등록,,우예림,우예림,PNA52623-그래피디자인,카드트레이 피규어 세트,"본 건은 차주 수요일(7/8) 출고 예정 건입니다.

다만 로고 색상값 확인을 위해 피규어 샘플 인쇄를 2회 진행했고, 샘플 제작 후 최종 색상값을 C:90, M:100, Y:16, K:0으로 확정하여 제작했습니다.

고객사에서 색상값에 민감하신 상황이라, 이전에 민정님께도 인쇄 방식 및 소재에 따른 색감 차이 가능성을 확인 후 안내드린 바 있습니다. 
다만 현재 제가 보기에도 지류와 피규어 간 색상 차이가 비교적 크게 나는 상황입니다.

이에 따라 아래 내용 확인 부탁드립니다.

1. 피규어를 지류 색상에 맞춰 재제작하는 방식
2. 지류를 피규어 색상에 맞춰 재제작하는 방식

위 두 가지 방식 중 어떤 방식이 더 빠르게 재제작 가능한지 확인 부탁드립니다.
또한 각 방식별 재제작 비용과 예상 소요시간도 함께 확인 요청드립니다.",,
1053,2026.7.1,등록,,송지영,송지영,PNA51849-광주새롬학교,풀커버 스티치 노트,"키트 구성에서 -> 단품 구성으로 변경되면서 고객이 따로 opp포장 옵션을 요청하지 ㅇ낳아 풀커버 스티치 노트가 OPP 없이 출고되었는데 

홈페이지에는 OPP가 필수로 지정되어 있어서 고객은 따로 요청하지 않아도 OPP가 추가되는 것인지 알고 계셨습니다. 

고객이 회수해서 OPP포장하고 싶어하시는 상황인데 오늘 중으로 회수 가능할지 확인 부탁드립니다. 
",,
1052,2026.7.1,등록,,우예림,우예림,PNA52116-함샤우트(롯데웰푸드),페이퍼 샤쉐,"페이퍼 샤쉐 800개 제작 건

제작한 샤쉐 중 패키지 파손이 1개가 우선적으로 발견되어 불량품에 대한 불안도가 높아져 고객사에서 여유 수량분 추가 전달 요청하셨습니다. 
고객사에서 일정 상 전량 검수 및 신시어리 회수 진행할 수 없는 상황이라고 합니다. 
기존 전달된 여유 수량분 8개에서 추가적으로 전달 가능한 여유 수량분 있을 지 확인 요청드립니다.",,
1051,2026.6.18,등록,,현동원,현동원,PNA51510-웍스피어,미니어처 NFC 키링,본 건 NFC 키링이 발주확정시안에 있는 시안이 아닌 이전 OS샘플 프로젝트 당시 진행했던 시안으로 제작됨. 검수 단계에서 확인되지 않음. ㅠ,"
",
1050,2026.6.17,등록,,우예림,우예림,PNA52138-한국애질런트테크놀로지,에센셜 장우산,"에센셜 장우산 70개 제작 건입니다.
전량 우산 패키지의 로고 'A' 부분이 누락된 상태로 인쇄된 것으로 확인됩니다.
고객사 일정상 차주 화요일(6/23)에 경주 현장에서 바로 사용 예정이라고 하여, 일정이 촉박한 상황입니다.
본 건 전량 회수 후 재제작 진행이 가능할지 빠르게 확인 부탁드립니다.
",,
1049,2026.6.11,등록,,이은지,이은지,PNA52102-커스텀그라운드,주차번호판 피규어세트,"고객이 표본으로 검수하신 수량 하나에서 첨부된 블랙 정사각형 파츠 누락이 확인됨. 회수 후 전량 검수 요청.
(입하 사진 상 전량 이슈는 아닌 것으로 추정)",,
1048,2026.6.8,등록,,우예림,우예림,PNA51837-케이뱅크,Motion 스탠다드 박스,"본 건 휘민님 컨펌 하에 모션박스 200개만 제작 진행된 건입니다.

임가공 시 박스에 메시지 카드를 끼워 작업하였으며, 투명 슬리브는 별도로 전달된 것으로 확인됩니다.

고객사 포장 작업 중, 메시지 카드 삽입부의 동일한 위치가 찢어진 박스가 총 29개 발견되었습니다. 제공된 여분 수량 4개(샘플 1개 + 여분 3개)를 초과하는 수량으로 확인되어 재제작이 필요할 것으로 보입니다.

아울러 투명 슬리브의 스크래치가 심한 제품도 약 10개 발견되었습니다.

본 제품은 6/10(수)에는 포장 완료 필요한 것으로 전달받았는데, 재제작 시 6/10(수) 출고 가능 여부 확인 부탁드립니다.
",박스 : 임가공 시 메시지 카드를 끼우면서 생긴 불량(찢어짐)으로 추정,
1047,2026.5.29,등록,,우예림,우예림,PNA51914-OSSTUDIO,스탠딩 휴대용 선풍기,"본 건 스탠딩 휴대용 선풍기 200개 제작 건입니다.

한 박스에 20개씩 총 10박스 제공된 것으로 확인되며, 현재 고객사에서 3박스를 개봉하여 검수한 결과 사진과 같이 선풍기 바디 색상이 눈에 띄게 누렇게 보이는 제품이 약 10~11개 발견되었다고 합니다.

현재 본 건 출고확인서가 업로드되어 있지 않아 여유수량분 확인이 어려운 상황입니다.

추가로 우려되는 점은, 본 프로젝트 이후 PNA51823 건으로 동일 제품 2,100개 제작이 진행 중인데 동일한 이슈가 반복될 가능성입니다.

이에 아래 내용 확인 부탁드립니다.

1. 현재 발견된 색상 이슈 제품에 대한 교환 또는 대체 가능 여부
2. 본 건 여유수량 보유 여부
3. PNA51823 동일 제품 2,100개 제작분에서도 동일 이슈가 발생하지 않도록 사전 검수 또는 생산 단계 확인 가능 여부

확인 후 고객사에 안내드리겠습니다.",,
1046,2026.5.11,등록,,이은지,이은지,PNA51445-티움(알파라발),미니어처 NFC 키링,고리 형태 회전 D링으로 발주했으나 군번줄로 출고됨,,
1045,2026.4.30,등록,,우예림,우예림,PNA51452-국가안보전략연구,라이트 샤오미펜,"금일 출고된 총 1,000개 중 대부분이
배경지 후면 ‘INSTITUTE FOR NATIONAL SECURITY STRATEGY’ 로고 인쇄가
얇고 연하게 표현된 것으로 확인됨.
(정확한 수량은 확인 어려움)

전량 회수 후 검수 및 재제작 진행 시 5/7 이전에 전달이 필요함..",,
1044,2026.4.28,등록,,이은지,이은지,PNA51559-성원아이북랜드,아이콘 펜,아이콘 펜 바디가 결합되지 않은 채 아크릴 파츠만 출고,펜 바디 발주 데이터 상의 문제로 추정,
1043,2026.4.27,등록,,지윤미,지윤미,PNA50484-SK일렉링크,스탠리 데일리 텀블러,고객물품 텀블러 150SET가 커스텀 박스에 넣지 않은채로 출고됨.,"총 300키트 중 텀블러가 아래와 같이 나뉘며 2가지 모두 커스텀 박스에 포장 후 G형박스에 구성 필요했었는데 (발주 시 텀블러 커스텀 박스 300개 진행)
1. 뉴오피스 키트 / 고객 물품(각인)텀블러 150개
2. 웰컴키트  / 신시어리에서 발주한 스탠리 텀블러 150개
고객물품 텀블러 150SET가 커스텀 박스에 넣지 않은채로 출고됨.

출고일 전 2. 웰컴키트 1SET를 고객이 이미 받고 특이사항이 없었어서 이후 뉴오피스에 대한 임가공샘플링 확인을 큐레이터가 누락함.",
1042,2026.4.27,등록,,지윤미,지윤미,PNA34225-도루코,굿이너프 비치타월,비치타월 이염 (25년 8월 제작 건이나 400개 사용 후 100개 보관),"25년 8월에 G형박스 키트 내 비치타월을 접어서 넣은 키트를 제작하셨는데 500SET중 남은 100SET를 최근까지 보관하셨고, 열어보니 비치타월에 이염이 발생하여 사용하기 어려운 상황이라고 연락주심.
하자보증기간은 남품 후 1개월이긴 하나 고객입장에서 보관 방법 및 유의사항에 대한 안내가 부족하여 생긴 이슈라고 생각하셔서 관련하여 보상을 원하시는 상황",
1041,2026.4.23,등록,,우예림,우예림,PNA50697-엑솔라코리아,프레젠트 골프공 3구,"프레젠트 골프공 3구 여유 수량 중 1개가
제품(골프공 및 웰컴페이퍼) 없이 박스만 전달되었습니다.",,
