파츠번호,굿즈연결,출시일,최근입하일,최근입하수량
PT2833,퀵 버튼링 노트,2023-09-04,2025-09-29,3000
PT3360,굿데이 볼캡,2024-05-14,2026-06-24,1000
PT4886,챔피언 피규어 트로피,2025-06-27,2025-11-06,3000
PT4888,챔피언 피규어 트로피,2025-06-27,2025-10-02,3000
PT4890,챔피언 피규어 트로피,2025-06-27,2025-09-30,3000
PT4902,심볼 아크릴 트로피,2025-06-30,2025-09-30,2000
PT4903,심볼 아크릴 트로피,2025-06-30,2025-09-30,2000
PT4954,챔피언 피규어 트로피,2025-06-27,,0
PT4904,심볼 아크릴 트로피,2025-06-30,,0
PT4957,챔피언 피규어 트로피,2025-06-27,,0
PT0889,모바일 오피스 파우치,2020-08-26,2025-06-11,1000
PT2228,브랜디드 노트북백,2022-04-21,2026-03-19,1000
PT2231,브랜디드 노트북백,2022-04-21,,0
PT2969,메시지 캐리어 파우치,2022-10-06,2026-07-14,500
PT2970,메시지 캐리어 파우치,2022-10-06,2025-11-06,1000
PT3331,테크 미니 파우치,2024-02-23,2026-04-30,3000
PT3353,메시지 캐리어 파우치,2022-10-06,2026-06-22,500
PT1679,톤앤톤 쿨러백,2021-05-11,2026-07-14,1000
PT2827,더블업 트래블 파우치,2023-05-19,2026-05-29,2000
PT2828,"더블업 트래블 파우치, 브랜디드 노트북백, 데일리 짐색",2022-04-21,2026-07-15,2000
PT3193,"굿스타트 슈즈백, 트래블 2in1 목베개, 웜업 스트링 후드집업, 슬로건 맨투맨",2023-06-20,2026-02-04,2000
PT0493,"RE:CUP, 스탠리 데일리 텀블러",2020-10-01,2026-06-19,2000
PT0761,"뮤지엄 머그, 밀크 에코컵",2019-08-01,2026-04-06,2000
PT0874,"매트블랙 텀블러, 테스트",2019-03-01,2026-03-13,2000
PT0878,매트블랙 텀블러,2019-03-01,2026-05-08,5000
PT0901,뮤지엄 머그,2019-08-01,2025-03-25,2500
PT0908,뮤지엄 머그,2019-08-01,,0
PT0952,스파클링 유리컵,2021-08-23,,0
PT1705,페이머스 캡슐보틀,2020-04-01,,0
PT1707,페이머스 캡슐보틀,2020-04-01,2024-09-23,2000
PT1730,폴더블 텀블러,2020-06-01,,0
PT1733,폴더블 텀블러,2020-06-01,2024-06-21,1000
PT2077,클리어 리유저블컵,2022-02-10,2026-05-06,2016
PT2078,클리어 리유저블컵,2022-02-10,,0
PT2079,클리어 리유저블컵,2022-02-10,2026-05-06,1080
PT2080,클리어 리유저블컵,2022-02-10,,0
PT2089,,,,0
PT2106,클리어 리유저블컵,2022-02-10,2026-06-18,1000
PT2377,레터링 유리머그,2022-05-19,2025-11-05,5
PT2741,슈가케인 텀블러,2023-01-09,2026-02-06,3000
PT2742,슈가케인 텀블러,2023-01-09,2025-07-01,1412
PT2817,어텐션 스포츠 보틀,2023-05-08,2025-09-18,3000
PT2824,"어텐션 스포츠 보틀, 미스트 워터보틀, 스탠리 슬림 보틀",2023-05-08,2026-03-04,3000
PT3400,스탠리 데일리 텀블러,2024-10-31,2026-05-13,53
PT3401,스탠리 데일리 텀블러,2024-10-31,2026-06-12,102
PT3854,미스트 워터보틀,2024-02-29,2026-05-08,5000
PT3855,미스트 워터보틀,2024-02-29,2026-01-30,500
PT3856,미스트 워터보틀,2024-02-29,2026-01-28,500
PT4391,스탠리 데일리 텀블러,2024-10-31,2026-06-02,102
PT4476,스탠리 슬림 보틀,2024-11-01,2026-02-20,61
PT4477,스탠리 슬림 보틀,2024-11-01,2026-01-07,105
PT4478,스탠리 슬림 보틀,2024-11-01,2026-03-27,31
PT4615,올데이 텀블러,2024-05-30,2025-10-15,3000
PT0571,RE:CUP,2020-10-01,2025-05-12,1000
PT0950,스파클링 유리컵,2021-08-23,,0
PT1354,아이콘 콜드컵,2020-04-01,2025-05-26,1000
PT1708,페이머스 캡슐보틀,2020-04-01,2025-06-02,1000
PT3159,어텐션 스포츠 보틀,2023-05-08,2026-03-13,800
PT3341,미스트 워터보틀,2024-02-29,2025-12-22,1000
PT4392,"스탠리 데일리 텀블러, 스탠리 슬림 보틀",2024-10-31,2026-04-17,1000
PT1583,"레터링 유리머그, 미니멀 스텐머그",2022-05-19,2026-02-12,2000
PT0453,"MiiR 텀블러, RE:CUP, Carry me 와인잔, 리틀빅 리유저블컵, 슈가케인 텀블러",2020-10-01,2026-06-18,3000
PT1695,퍼 블랭킷,2019-10-01,2025-11-04,1000
